Number,Year,Fire Name,Fire ID,Ignition Date,Administrative Unit,State,Soil Burn Data,UL,LR,,,
0,2021,Tamarack,CA3862811985720210704,07/04/2021,Humboldt-Toiyabe National Forest,California,Yes,"-119.8969479062838985,38.6123081465986502","-119.5262321340889571,38.8009370542154883",0,,
1,2021,Beckwourth Complex,CA3987512036820210703,07/03/2021,Plumas National Forest,California,Yes,"-120.3877769520188679,39.8169806501244494","-120.0085300418146943,40.0927017114231319",1,,
2,2021,Caldor,CA3858612053820210815,08/15/2021,Region 05 (Pacific Southwest),California,Yes,"-120.6720414050161168,38.5441752403372391","-119.9191566261133062,38.9069642788759040",,,
3,2021,Dixie,CA3987612137920210714,07/14/2021,Region 05 (Pacific Southwest),California,Yes,"-121.7789720373888116,39.6535052572116342","-120.0881382648391735,40.8583005264497316",,,
4,,,,,,,,"-121.5467406183058614,39.8511066312774531","-120.8263951237389762,40.3197139128670088",,,
5,2021,East Fork,CA3876011973020210701,07/01/2021,Region 05 (Pacific Southwest),California,Yes,"-119.7951003038420907,38.7160818374311475","-119.6711056969029556,38.8145298168099586",4,,
6,2021,Knob,CA4091612363420210829,08/29/2021,Six Rivers National Forest,California,Yes,"-123.7003063128512963,40.8408085503912304","-123.5585479190289249,40.9695016544603945",5,,
7,2021,Lava,CA4145912232920210625,06/25/2021,Shasta-Trinity National Forest,California,Yes,"-122.3502943051346961,41.4008143980890964","-122.2024642277073667,41.5887473156695862",,,
8,2021,Monument,CA4075212333720210731,07/31/2021,Shasta-Trinity National Forest,California,Yes,"-123.5847969791113172,40.4547481856142070","-122.9446208465211470,41.0024324105030118",,,
9,2021,Salt,CA4086312235520210630,06/30/2021,Shasta-Trinity National Forest,California,Yes,"-122.4223722419343403,40.8536708409163651","-122.3071087856542505,40.9613726874759578",8,,
10,2021,Tennant,CA4166512205420210628,06/28/2021,Klamath National Forest,California,Yes,"-122.0966941446456389,41.6646242991901659","-121.9906292064509046,41.7686534420260713",9,,
11,2020,Slink,CA3856811956820200830,08/30/2020,Humboldt-Toiyabe National Forest,California,Yes,"-119.5903115020738596,38.4551737746568847","-119.4838275268957091,38.5879355632307579",10,,
12,2020,Apple,ca3399211696420200731,07/31/2020,San Bernardino National Forest,California,Yes,"-116.9644952246084415,33.9738166768663490","-116.7623794089235787,34.0899870083637566",11,,
13,2020,August Complex (north half),ca3966012280920200817,08/17/2020,Mendocino National Forest,California,Yes,"-123.5189633806823224,39.8185970744520148","-122.5931353837833768,40.4426217339745335",,,
14,2020,August Complex (south half),CA3966012280920200817,08/17/2020,Mendocino National Forest,California,Yes,"-123.1852562794060759,39.4362514253713670","-122.5403700346992792,40.0527553770071307",,,
15,2020,Bobcat,CA3424811795920200906,09/06/2020,Angeles National Forest,California,Yes,"-118.1074297841645802,34.1646692958449449","-117.7641819890065733,34.4853636335689444",,,
16,2020,Creek,ca3720111927220200905,09/29/2020,Sierra National Forest,California,Yes,"-119.4944434766787964,36.9858939160336959","-118.9310573526680770,37.6508308304225281",,,
17,2020,Devil,CA4190412319120200909,09/09/2020,Klamath National Forest,California,Yes,"-123.3482259706132993,41.8409762615941005","-123.1076810173010756,42.0062970314780415",16,,
18,2020,El Dorado,CA3405311699120200905,09/18/2020,San Bernardino National Forest,California,Yes,"-117.0285129485358198,34.0008995640081011","-116.8862562801073892,34.1654140785171663",,,
19,2020,Gold,ca4106412076220200720,07/20/2020,Modoc National Forest,California,Yes,"-121.6244887337319369,40.9975492455113866","-120.6789515112445059,41.8464816888683231",,,
20,2020,Hog,ca4042112086320200718,07/18/2020,Lassen National Forest,California,Yes,"-120.8879400493739524,40.3649780674832854","-120.7236324621228931,40.4887828949799484",19,,
21,2020,Lake,CA3467911845220200812,08/12/2020,Angeles National Forest,California,Yes,"-118.6614192947385504,34.6182526301375262","-118.4598167214399353,34.7522445843420940",20,,
22,2020,Loyalton,CA3968112017120200814,08/14/2020,Tahoe National Forest,California,Yes,"-120.2329369573684232,39.6079061539253985","-119.9987574220572668,39.7995644384991465",,,
23,2020,Mountain View,CA3851511946520201117,11/17/2020,Region 05 (Pacific Southwest),California,Yes,"-119.4812648811872862,38.5057521010724457","-119.3154630131198957,38.6139529362795741",22,,
24,2020,Ranch 2,ca3415711791120200813,08/13/2020,Angeles National Forest,California,Yes,"-117.9313013522090472,34.1607808825988926","-117.8877482044607063,34.2278148578289461",23,,
25,2020,Slater,CA4185812335420200908,09/08/2020,Klamath National Forest,California,Yes,"-123.8711228511641593,41.6627035215059252","-123.2295059946162894,42.1750677394075524",24,,
26,2020,Snow,CA3388811668420200917,09/17/2020,San Bernardino National Forest,California,Yes,"-116.7254438392855178,33.8382395393340047","-116.6386627320261198,33.8999953970581274",25,,
27,2020,SQF Complex (Castle),CA3625511849720200824,10/14/2020,Sequoia National Forest,California,Yes,"-118.8491452664361248,36.0729390619811312","-118.2974233684330017,36.3935171967797544",26,,
28,2020,Valley,CA3276011669320200905,09/05/2020,Cleveland National Forest,California,Yes,"-116.7769701123082768,32.6900188973984456","-116.6033751113075141,32.7858482365752337",27,,
29,2019,Caples,ca3872412014620191010,10/10/2019,Eldorado National Forest,California,Yes,"-120.2160621725334693,38.6834102860410738","-120.1184686625846894,38.7289905788565889",28,,
30,2019,Cow,ca3628411822820190725,07/25/2019,Inyo National Forest,California,Yes,"-118.2482396831760525,36.2636052428460758","-118.1724979714074948,36.3118801800172406",29,,
31,2019,Jordan,ca3622711830820190609,06/09/2019,Inyo National Forest,California,Yes,"-118.3176425780725367,36.2096714305693084","-118.2964883600605077,36.2298278081090643",30,,
32,2019,Lime,ca4186612267020190905,09/05/2019,Klamath National Forest,California,Yes,"-122.6844697997739217,41.8457723431604762","-122.6351335249671024,41.8882390100828061",31,,
33,2019,Lone,ca4174812105620190905,09/05/2019,Modoc National Forest,California,Yes,"-121.0875806750094483,41.7415888628451057","-120.9815657070206925,41.7891828165592045",32,,
34,2019,Middle,ca4088712301420190905,09/05/2019,Shasta-Trinity National Forest,California,Yes,"-123.0254047927947028,40.8725931825148905","-122.9789322581896442,40.8940420446403010",33,,
35,2019,Saddle Ridge,ca3432611848120191010,10/10/2019,Angeles National Forest,California,Yes,"-118.5799929659090850,34.2755969429153780","-118.4499112920376547,34.3593818320703619",34,,
36,2019,South,ca4010912278920190905,09/05/2019,Shasta-Trinity National Forest,California,Yes,"-122.8732176075784679,40.0846055369067997","-122.7720517718171322,40.1516944595695762",35,,
37,2019,Taboose,ca3703411834520190904,09/04/2019,Inyo National Forest,California,Yes,"-118.3929411825379532,36.9757188556829774","-118.2957529206954348,37.0619961692105306",36,,
